,name,count,membership,bin
0,Malu Leicher,0,non_member,"[0, 25)"
1,Karolina Lodyga,0,non_member,"[0, 25)"
2,Harriet Herbig-Matten,0,non_member,"[0, 25)"
3,Robert Finster,0,non_member,"[0, 25)"
4,David Schütter,0,non_member,"[0, 25)"
5,Bernhard Hoëcker,0,non_member,"[0, 25)"
6,Adrianne León,0,non_member,"[0, 25)"
7,Ludmilla Makowski,0,non_member,"[0, 25)"
8,Joanna García,1,member,"[0, 25)"
9,Sabine Vitua,1,member,"[0, 25)"
10,Jenilee Harrison,1,member,"[0, 25)"
11,Guido Cantz,2,member,"[0, 25)"
12,Bettina Lamprecht,2,member,"[0, 25)"
13,Taylor Atelian,2,member,"[0, 25)"
14,Jörg Pilawa,2,member,"[0, 25)"
15,Mackenzie Aladjem,4,member,"[0, 25)"
16,Johannes B. Kerner,4,member,"[0, 25)"
17,Max Giermann,4,member,"[0, 25)"
18,Erin Chambers,6,member,"[0, 25)"
19,Staci Keanan,6,member,"[0, 25)"
20,Kai Pflaume,7,member,"[0, 25)"
21,Freddy Rodríguez,7,member,"[0, 25)"
22,Christina Bennett Lind,10,member,"[0, 25)"
23,Annette Frier,10,member,"[0, 25)"
24,Jessica Leccia,11,member,"[0, 25)"
25,Valerie Cruz,11,member,"[0, 25)"
26,Lourdes Benedicto,14,member,"[0, 25)"
27,Shannon Kane,14,member,"[0, 25)"
28,Andrea Bogart,15,member,"[0, 25)"
29,Florencia Lozano,19,member,"[0, 25)"
30,Kimberly Matula,24,member,"[0, 25)"
31,Ilene Kristen,25,member,"[25, 50)"
32,Natalia Livingston,27,member,"[25, 50)"
33,Lexi Ainsworth,29,member,"[25, 50)"
34,Molly Burnett,31,member,"[25, 50)"
35,Carla Gallo,32,member,"[25, 50)"
36,Julie Marie Berman,32,member,"[25, 50)"
37,Olivia d'Abo,34,member,"[25, 50)"
38,Jonathan Sadowski,34,member,"[25, 50)"
39,Wanda De Jesus,34,member,"[25, 50)"
40,Michael Kessler,36,member,"[25, 50)"
41,Carolin Kebekus,36,member,"[25, 50)"
42,Patricia Kalember,37,member,"[25, 50)"
43,Veronica Hamel,37,member,"[25, 50)"
44,Jodi Long,38,member,"[25, 50)"
45,Crystal Chappell,38,member,"[25, 50)"
46,Audrey Landers,38,member,"[25, 50)"
47,Nicole de Boer,40,member,"[25, 50)"
48,T.J. Thyne,41,member,"[25, 50)"
49,Natalie Hall,41,member,"[25, 50)"
50,Michael Landes,42,member,"[25, 50)"
51,Bobbie Eakes,46,member,"[25, 50)"
52,Judi Evans,51,member,"[50, 75)"
53,Brooke Langton,57,member,"[50, 75)"
54,Lisa LoCicero,57,member,"[50, 75)"
55,Mary Crosby,58,member,"[50, 75)"
56,Chase Masterson,59,member,"[50, 75)"
57,Erin Cummings,61,member,"[50, 75)"
58,Jake Weber,62,member,"[50, 75)"
59,Arnold Vosloo,64,member,"[50, 75)"
60,Peggy McCay,65,member,"[50, 75)"
61,Crystal Bernard,67,member,"[50, 75)"
62,Barbara Schöneberger,68,member,"[50, 75)"
63,Melissa Archer,69,member,"[50, 75)"
64,Shelley Hack,69,member,"[50, 75)"
65,Jill Eikenberry,72,member,"[50, 75)"
66,Kimberlin Brown,73,member,"[50, 75)"
67,Jackee Harry,77,member,"[75, 100)"
68,Lecy Goranson,77,member,"[75, 100)"
69,Kristen Alderson,78,member,"[75, 100)"
70,Tracey Gold,78,member,"[75, 100)"
71,Rebecca Herbst,84,member,"[75, 100)"
72,Joanna Kerns,85,member,"[75, 100)"
73,Joyce DeWitt,88,member,"[75, 100)"
74,Jamie Luner,90,member,"[75, 100)"
75,Lesley-Anne Down,90,member,"[75, 100)"
76,Adrienne Frantz,90,member,"[75, 100)"
77,Kimberly McCullough,94,member,"[75, 100)"
78,Farah Fath,95,member,"[75, 100)"
79,Pamela Sue Martin,96,member,"[75, 100)"
80,Ellen Greene,98,member,"[75, 100)"
81,Lindsay Hartley,98,member,"[75, 100)"
82,Amanda Bearse,100,member,"[100, 125)"
83,Tempestt Bledsoe,102,member,"[100, 125)"
84,Alley Mills,104,member,"[100, 125)"
85,Jennifer Gareis,107,member,"[100, 125)"
86,Elizabeth Hendrickson,111,member,"[100, 125)"
87,Tracey E. Bregman,111,member,"[100, 125)"
88,Kristy McNichol,112,member,"[100, 125)"
89,Lauren Koslow,113,member,"[100, 125)"
90,Josie Bissett,114,member,"[100, 125)"
91,Laura Innes,115,member,"[100, 125)"
92,Barbara Carrera,117,member,"[100, 125)"
93,Brianna Brown,119,member,"[100, 125)"
94,Caroline Dhavernas,122,member,"[100, 125)"
95,Angell Conwell,126,member,"[125, 150)"
96,Katherine Helmond,127,member,"[125, 150)"
97,Alice Krige,129,member,"[125, 150)"
98,Didi Conn,129,member,"[125, 150)"
99,Cathy Lee Crosby,130,member,"[125, 150)"
100,Susan Dey,132,member,"[125, 150)"
101,Peri Gilpin,133,member,"[125, 150)"
102,Tamara Braun,134,member,"[125, 150)"
103,Kathy Baker,137,member,"[125, 150)"
104,Aisha Hinds,140,member,"[125, 150)"
105,Christel Khalil,142,member,"[125, 150)"
106,Susan Flannery,143,member,"[125, 150)"
107,Kim Delaney,144,member,"[125, 150)"
108,Bernard Hill,147,member,"[125, 150)"
109,Justine Bateman,151,member,"[150, 200)"
110,Denise Crosby,157,member,"[150, 200)"
111,Rebecca Budig,161,member,"[150, 200)"
112,Andrea Anders,164,member,"[150, 200)"
113,Ciara Bravo,167,member,"[150, 200)"
114,Jim Beaver,169,member,"[150, 200)"
115,Kathryn Joosten,172,member,"[150, 200)"
116,Kerr Smith,172,member,"[150, 200)"
117,Lauralee Bell,174,member,"[150, 200)"
118,Gates McFadden,178,member,"[150, 200)"
119,Kellie Martin,180,member,"[150, 200)"
120,Amy Davidson,188,member,"[150, 200)"
121,Kassie DePaiva,190,member,"[150, 200)"
122,Jane Curtin,191,member,"[150, 200)"
123,Martin Henderson,192,member,"[150, 200)"
124,S. Epatha Merkerson,193,member,"[150, 200)"
125,Mary Beth Evans,194,member,"[150, 200)"
126,Bonnie Franklin,200,member,"[200, 225)"
127,Nancy Lee Grahn,201,member,"[200, 225)"
128,Dina Meyer,202,member,"[200, 225)"
129,Gabrielle Carteris,205,member,"[200, 225)"
130,Edi Gathegi,206,member,"[200, 225)"
131,Matt Long,209,member,"[200, 225)"
132,Christine Lakin,210,member,"[200, 225)"
133,Swoosie Kurtz,212,member,"[200, 225)"
134,David Wenham,215,member,"[200, 225)"
135,Tamala Jones,216,member,"[200, 225)"
136,Anthony Stewart Head,216,member,"[200, 225)"
137,Omid Djalili,222,member,"[200, 225)"
138,Kristian Alfonso,223,member,"[200, 225)"
139,Ian Holm,225,member,"[225, 250)"
140,Dan Lauria,226,member,"[225, 250)"
141,Sherilyn Fenn,228,member,"[225, 250)"
142,Gary Dourdan,228,member,"[225, 250)"
143,Nicole Eggert,232,member,"[225, 250)"
144,Peggy Lipton,240,member,"[225, 250)"
145,Portia Doubleday,242,member,"[225, 250)"
146,Christa Miller,246,member,"[225, 250)"
147,Drea de Matteo,249,member,"[225, 250)"
148,Yasmine Bleeth,250,member,"[250, 275)"
149,Laura Leighton,252,member,"[250, 275)"
150,Terry Farrell,253,member,"[250, 275)"
151,James Frain,257,member,"[250, 275)"
152,Delta Burke,257,member,"[250, 275)"
153,Faith Ford,258,member,"[250, 275)"
154,Sharon Gless,258,member,"[250, 275)"
155,Jasmine Guy,259,member,"[250, 275)"
156,Melissa Claire Egan,261,member,"[250, 275)"
157,Jill Hennessy,265,member,"[250, 275)"
158,Kim Fields,265,member,"[250, 275)"
159,Lorraine Bracco,267,member,"[250, 275)"
160,Annie Ilonzeh,268,member,"[250, 275)"
161,Andrea Bowen,275,member,"[275, 300)"
162,Melissa Fumero,280,member,"[275, 300)"
163,Vanessa Marcil,286,member,"[275, 300)"
164,Shelley Long,286,member,"[275, 300)"
165,Carolyn Hennesy,289,member,"[275, 300)"
166,Hector Elizondo,290,member,"[275, 300)"
167,Jason Behr,292,member,"[275, 300)"
168,Hal Holbrook,293,member,"[275, 300)"
169,Melina Kanakaredes,293,member,"[275, 300)"
170,Ashley Johnson,294,member,"[275, 300)"
171,Lara Flynn Boyle,299,member,"[275, 300)"
172,Scott Patterson,299,member,"[275, 300)"
173,Chris Kattan,302,member,"[300, 1000000)"
174,Loni Anderson,309,member,"[300, 1000000)"
175,Kate Linder,311,member,"[300, 1000000)"
176,Ashley Jones,314,member,"[300, 1000000)"
177,Michael Vartan,323,member,"[300, 1000000)"
178,Richard Schiff,324,member,"[300, 1000000)"
179,Oliver Platt,333,member,"[300, 1000000)"
180,Rue McClanahan,335,member,"[300, 1000000)"
181,Desmond Harrington,336,member,"[300, 1000000)"
182,Shelley Hennig,340,member,"[300, 1000000)"
183,Matt Czuchry,341,member,"[300, 1000000)"
184,Chazz Palminteri,342,member,"[300, 1000000)"
185,Eileen Davidson,342,member,"[300, 1000000)"
186,Natalie Martinez,344,member,"[300, 1000000)"
187,Matthew Lillard,347,member,"[300, 1000000)"
188,Linda Evans,349,member,"[300, 1000000)"
189,Amaury Nolasco,354,member,"[300, 1000000)"
190,Nadia Bjorlin,361,member,"[300, 1000000)"
191,Neal McDonough,370,member,"[300, 1000000)"
192,Bruce Greenwood,374,member,"[300, 1000000)"
193,Adrienne Barbeau,382,member,"[300, 1000000)"
194,Ken Watanabe,382,member,"[300, 1000000)"
195,Billy Boyd,393,member,"[300, 1000000)"
196,Ray Stevenson,397,member,"[300, 1000000)"
197,Adam McKay,400,member,"[300, 1000000)"
198,Patrick Warburton,407,member,"[300, 1000000)"
199,Kristen Johnston,412,member,"[300, 1000000)"
200,Jolene Blalock,424,member,"[300, 1000000)"
201,Chyler Leigh,430,member,"[300, 1000000)"
202,Joe Pantoliano,431,member,"[300, 1000000)"
203,Wendie Malick,438,member,"[300, 1000000)"
204,Andy Richter,441,member,"[300, 1000000)"
205,Jessica Capshaw,446,member,"[300, 1000000)"
206,Richard E. Grant,452,member,"[300, 1000000)"
207,Jeremy Sisto,455,member,"[300, 1000000)"
208,Sharon Case,456,member,"[300, 1000000)"
209,Ioan Gruffudd,462,member,"[300, 1000000)"
210,Jane Leeves,463,member,"[300, 1000000)"
211,Debi Mazar,465,member,"[300, 1000000)"
212,Eliza Coupe,469,member,"[300, 1000000)"
213,Leslie Nielsen,470,member,"[300, 1000000)"
214,Rachel Dratch,481,member,"[300, 1000000)"
215,James Remar,483,member,"[300, 1000000)"
216,Jeanne Cooper,485,member,"[300, 1000000)"
217,Sarah Chalke,501,member,"[300, 1000000)"
218,Marilu Henner,508,member,"[300, 1000000)"
219,Tina Louise,516,member,"[300, 1000000)"
220,Robert Knepper,518,member,"[300, 1000000)"
221,Cheryl Ladd,521,member,"[300, 1000000)"
222,Giovanni Ribisi,527,member,"[300, 1000000)"
223,Carey Lowell,532,member,"[300, 1000000)"
224,Chris Klein,544,member,"[300, 1000000)"
225,Mariel Hemingway,546,member,"[300, 1000000)"
226,Tatyana Ali,549,member,"[300, 1000000)"
227,Brad Garrett,550,member,"[300, 1000000)"
228,Lauren Holly,551,member,"[300, 1000000)"
229,Katherine Kelly Lang,558,member,"[300, 1000000)"
230,Alexander Skarsgård,559,member,"[300, 1000000)"
231,Tyne Daly,565,member,"[300, 1000000)"
232,Dean Cain,584,member,"[300, 1000000)"
233,Rachel Griffiths,591,member,"[300, 1000000)"
234,Rupert Friend,603,member,"[300, 1000000)"
235,Cam Gigandet,612,member,"[300, 1000000)"
236,Robert Patrick,616,member,"[300, 1000000)"
237,Kevin McKidd,627,member,"[300, 1000000)"
238,Diahann Carroll,632,member,"[300, 1000000)"
239,Alfred Molina,634,member,"[300, 1000000)"
240,Ben McKenzie,654,member,"[300, 1000000)"
241,Rob Schneider,660,member,"[300, 1000000)"
242,Laurie Metcalf,667,member,"[300, 1000000)"
243,Cary Elwes,670,member,"[300, 1000000)"
244,Sarah Drew,671,member,"[300, 1000000)"
245,Danny Masterson,681,member,"[300, 1000000)"
246,Hank Azaria,717,member,"[300, 1000000)"
247,Katrina Bowden,721,member,"[300, 1000000)"
248,Danica McKellar,737,member,"[300, 1000000)"
249,Billy Burke,738,member,"[300, 1000000)"
250,Sasha Alexander,742,member,"[300, 1000000)"
251,Jim Caviezel,744,member,"[300, 1000000)"
252,Gabriel Macht,749,member,"[300, 1000000)"
253,Jean Reno,770,member,"[300, 1000000)"
254,Candice Bergen,780,member,"[300, 1000000)"
255,Dermot Mulroney,784,member,"[300, 1000000)"
256,Roma Downey,786,member,"[300, 1000000)"
257,Tia Carrere,787,member,"[300, 1000000)"
258,Victor Garber,804,member,"[300, 1000000)"
259,Charlie Day,808,member,"[300, 1000000)"
260,Shirley Jones,809,member,"[300, 1000000)"
261,Jay Baruchel,813,member,"[300, 1000000)"
262,Colin Hanks,819,member,"[300, 1000000)"
263,Freddie Prinze Jr,833,member,"[300, 1000000)"
264,Kal Penn,839,member,"[300, 1000000)"
265,Frances Fisher,843,member,"[300, 1000000)"
266,Jennette McCurdy,846,member,"[300, 1000000)"
267,James Brolin,856,member,"[300, 1000000)"
268,Gene Hackman,866,member,"[300, 1000000)"
269,John Noble,872,member,"[300, 1000000)"
270,Luke Wilson,877,member,"[300, 1000000)"
271,Bernie Mac,884,member,"[300, 1000000)"
272,Kevin Connolly,886,member,"[300, 1000000)"
273,Chris Noth,886,member,"[300, 1000000)"
274,Cheryl Hines,894,member,"[300, 1000000)"
275,Linda Gray,906,member,"[300, 1000000)"
276,Dominic Monaghan,910,member,"[300, 1000000)"
277,Melissa Gilbert,921,member,"[300, 1000000)"
278,Misha Collins,924,member,"[300, 1000000)"
279,Elizabeth Berkley,935,member,"[300, 1000000)"
280,Alan Arkin,941,member,"[300, 1000000)"
281,Sara Gilbert,948,member,"[300, 1000000)"
282,Billy Zane,955,member,"[300, 1000000)"
283,Alan Alda,962,member,"[300, 1000000)"
284,Dana Delany,970,member,"[300, 1000000)"
285,Valerie Bertinelli,1017,member,"[300, 1000000)"
286,Brendan Fraser,1020,member,"[300, 1000000)"
